index,cell_id,actual_zone,suggested_zone,suggested_confidence,actual_probability,gap,neighbours
455,ghsl_9558_cell_00455,Commercial,Civic,0.6496,0.0402,0.6094,"Civicx3, Residentialx1"
575,ghsl_9558_cell_00575,Industrial,Civic,0.6496,0.0402,0.6094,"Civicx3, Residentialx1"
189,ghsl_9558_cell_00189,Civic,Residential,0.6973,0.0944,0.6029,"Residentialx3, Civicx1"
553,ghsl_9558_cell_00553,Industrial,Residential,0.6973,0.0944,0.6029,"Residentialx3, Industrialx1"
26,ghsl_9558_cell_00026,Agricultural,Residential,0.6261,0.0435,0.5826,"Residentialx2, Civicx1"
204,ghsl_9558_cell_00204,Civic,Residential,0.6673,0.0863,0.581,"Residentialx3, Civicx1"
510,ghsl_9558_cell_00510,Civic,Residential,0.6673,0.0863,0.581,"Residentialx3, Civicx1"
744,ghsl_9558_cell_00744,Residential,Civic,0.6673,0.0863,0.581,"Civicx3, Residentialx1"
859,ghsl_9558_cell_00859,Industrial,Residential,0.6673,0.0863,0.581,"Residentialx3, Industrialx1"
304,ghsl_9558_cell_00304,Commercial,Residential,0.6217,0.0476,0.5741,"Residentialx3, Civicx1"
582,ghsl_9558_cell_00582,Utility,Commercial,0.6128,0.0471,0.5657,"Commercialx3, Civicx1"
55,ghsl_9558_cell_00055,Industrial,Residential,0.6107,0.0461,0.5646,"Residentialx3, Civicx1"
207,ghsl_9558_cell_00207,Commercial,Residential,0.6107,0.0461,0.5646,"Residentialx3, Industrialx1"
333,ghsl_9558_cell_00333,Civic,Residential,0.6107,0.0461,0.5646,"Residentialx3, Industrialx1"
376,ghsl_9558_cell_00376,Residential,Industrial,0.6107,0.0461,0.5646,"Industrialx3, Civicx1"
